Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte
A02,183.9,ASt Flughafen Graz,877,Kn. Graz West - Graz Feldkirchen FH,Wien/Kn. Inzersdorf,Kfz,29.206,33.306,33.553,33.559,32.501,22.676,19.209,Messung
A02,183.9,ASt Flughafen Graz,877,Kn. Graz West - Graz Feldkirchen FH,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",2.977,4.02,3.821,4.22,3.619,1.389,383.0,Messung
A02,183.9,ASt Flughafen Graz,877,Kn. Graz West - Graz Feldkirchen FH,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",26.229,29.286,29.732,29.339,28.882,21.287,18.826,Messung
A02,183.9,ASt Flughafen Graz,877,gesamt,gesamt,Kfz,60.377,69.481,70.062,69.968,67.866,47.036,37.409,Messung
A02,183.9,ASt Flughafen Graz,877,gesamt,gesamt,"Kfz > 3,5t hzG",5.99,8.188,9.073,8.661,6.426,2.308,748.0,Messung
A02,183.9,ASt Flughafen Graz,877,gesamt,gesamt,"Kfz <= 3,5t hzG",54.387,61.293,60.989,61.307,61.44,44.728,36.661,Messung
A02,186.6,Kn. Graz West,886,Kn. Graz West - Unterpremstätten,Staatsgrenze Arnoldstein,Kfz,24.428,28.015,28.256,28.139,27.545,20.202,14.691,Messung
A02,186.6,Kn. Graz West,886,Kn. Graz West - Unterpremstätten,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",2.204,3.034,3.96,3.223,1.986,748.0,272.0,Messung
A02,186.6,Kn. Graz West,886,Kn. Graz West - Unterpremstätten,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",22.224,24.981,24.296,24.916,25.559,19.454,14.419,Messung
A02,186.6,Kn. Graz West,886,Unterpremstätten - Kn. Graz West,Wien/Kn. Inzersdorf,Kfz,24.712,27.92,27.664,27.986,27.901,20.579,16.241,Messung
A02,186.6,Kn. Graz West,886,Unterpremstätten - Kn. Graz West,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",2.204,2.952,2.623,3.081,2.814,1.124,308.0,Messung
A02,186.6,Kn. Graz West,886,Unterpremstätten - Kn. Graz West,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",22.508,24.968,25.041,24.905,25.087,19.455,15.933,Messung
A02,186.6,Kn. Graz West,886,gesamt,gesamt,Kfz,49.14,55.935,55.92,56.125,55.446,40.781,30.932,Messung
A02,186.6,Kn. Graz West,886,gesamt,gesamt,"Kfz > 3,5t hzG",4.408,5.986,6.583,6.304,4.8,1.872,580.0,Messung
A02,186.6,Kn. Graz West,886,gesamt,gesamt,"Kfz <= 3,5t hzG",44.732,49.949,49.337,49.821,50.646,38.909,30.352,Messung
A02,191.8,Dobl,387,Unterpremstätten - Lieboch,Staatsgrenze Arnoldstein,Kfz,20.664,23.413,23.559,23.504,23.087,17.738,12.997,Messung
A02,191.8,Dobl,387,Unterpremstätten - Lieboch,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",2.006,2.756,3.515,2.974,1.731,698.0,254.0,Messung
A02,191.8,Dobl,387,Unterpremstätten - Lieboch,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",18.658,20.657,20.044,20.53,21.356,17.04,12.743,Messung
A02,191.8,Dobl,387,Lieboch - Unterpremstätten,Wien/Kn. Inzersdorf,Kfz,22.369,24.737,24.683,24.682,24.911,19.844,15.765,Messung
A02,191.8,Dobl,387,Lieboch - Unterpremstätten,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",2.022,2.701,2.281,2.853,2.559,1.053,292.0,Messung
A02,191.8,Dobl,387,Lieboch - Unterpremstätten,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",20.347,22.036,22.402,21.829,22.352,18.791,15.473,Messung
A02,191.8,Dobl,387,gesamt,gesamt,Kfz,43.033,48.15,48.242,48.186,47.998,37.582,28.762,Messung
A02,191.8,Dobl,387,gesamt,gesamt,"Kfz > 3,5t hzG",4.028,5.457,5.796,5.827,4.29,1.751,546.0,Messung
A02,191.8,Dobl,387,gesamt,gesamt,"Kfz <= 3,5t hzG",39.005,42.693,42.446,42.359,43.708,35.831,28.216,Messung
A02,203.0,Zirknitzberg,395,Mooskirchen - Steinberg,Staatsgrenze Arnoldstein,Kfz,8.515,8.954,8.601,8.941,9.2,8.431,7.033,Messung
A02,203.0,Zirknitzberg,395,Mooskirchen - Steinberg,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",1.461,1.982,2.635,2.17,1.102,612.0,202.0,Messung
A02,203.0,Zirknitzberg,395,Mooskirchen - Steinberg,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",7.054,6.972,5.966,6.771,8.098,7.819,6.831,Messung
A02,203.0,Zirknitzberg,395,Steinberg - Mooskirchen,Wien/Kn. Inzersdorf,Kfz,7.322,7.384,6.501,7.38,7.925,7.251,7.151,Messung
A02,203.0,Zirknitzberg,395,Steinberg - Mooskirchen,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",1.455,1.895,1.336,2.021,1.902,966.0,243.0,Messung
A02,203.0,Zirknitzberg,395,Steinberg - Mooskirchen,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",5.867,5.489,5.165,5.359,6.023,6.285,6.908,Messung
A02,203.0,Zirknitzberg,395,gesamt,gesamt,Kfz,15.837,16.338,15.102,16.321,17.125,15.682,14.184,Messung
A02,203.0,Zirknitzberg,395,gesamt,gesamt,"Kfz > 3,5t hzG",2.916,3.877,3.971,4.191,3.004,1.578,445.0,Messung
A02,203.0,Zirknitzberg,395,gesamt,gesamt,"Kfz <= 3,5t hzG",12.921,12.461,11.131,12.13,14.121,14.104,13.739,Messung
A02,236.5,Preitenegg,530,Packsattel - Bad St. Leonhard,Staatsgrenze Arnoldstein,Kfz,7.837,8.268,8.027,8.235,8.501,7.637,6.461,"12,9% Tage geschätzt"
A02,236.5,Preitenegg,530,Packsattel - Bad St. Leonhard,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",1.498,2.028,2.625,2.228,1.152,647.0,209.0,Messung
A02,236.5,Preitenegg,530,Packsattel - Bad St. Leonhard,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",6.339,6.24,5.402,6.007,7.349,6.99,6.252,"12,9% Tage geschätzt"
A02,236.5,Preitenegg,530,Bad St. Leonhard - Packsattel,Wien/Kn. Inzersdorf,Kfz,7.632,7.672,6.843,7.652,8.223,7.437,7.618,"12,9% Tage geschätzt"
A02,236.5,Preitenegg,530,Bad St. Leonhard - Packsattel,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",1.496,1.959,1.409,2.093,1.938,936.0,252.0,Messung
A02,236.5,Preitenegg,530,Bad St. Leonhard - Packsattel,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",6.136,5.713,5.434,5.559,6.285,6.501,7.366,"12,9% Tage geschätzt"
A02,236.5,Preitenegg,530,gesamt,gesamt,Kfz,15.469,15.94,14.87,15.887,16.724,15.074,14.079,"12,9% Tage geschätzt"
A02,236.5,Preitenegg,530,gesamt,gesamt,"Kfz > 3,5t hzG",2.994,3.987,4.034,4.321,3.09,1.583,461.0,Messung
A02,236.5,Preitenegg,530,gesamt,gesamt,"Kfz <= 3,5t hzG",12.475,11.953,10.836,11.566,13.634,13.491,13.618,"12,9% Tage geschätzt"
A02,242.2,Gräberntunnel,534,Bad St. Leonhard - Wolfsberg Nord,Staatsgrenze Arnoldstein,Kfz,8.562,9.265,9.09,9.253,9.399,7.81,6.602,"22,6% Tage geschätzt"
A02,242.2,Gräberntunnel,534,Bad St. Leonhard - Wolfsberg Nord,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",1.622,2.2,2.81,2.409,1.291,696.0,215.0,Messung
A02,242.2,Gräberntunnel,534,Bad St. Leonhard - Wolfsberg Nord,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",6.94,7.065,6.28,6.844,8.108,7.114,6.387,"22,6% Tage geschätzt"
A02,242.2,Gräberntunnel,534,Wolfsberg Nord - Bad St. Leonhard,Wien/Kn. Inzersdorf,Kfz,8.878,9.245,8.46,9.26,9.678,8.243,8.018,"51,6% Tage geschätzt"
