Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte,
A01, 56.5 ,St. Pölten Süd/A1,415,Kn. St. Pölten - St. Pölten Süd,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","33,826","31,838","29,642","30,890","35,624","37,972","38,022","22,6% Tage geschätzt",
A01, 56.5 ,St. Pölten Süd/A1,415,St. Pölten Süd - Kn. St. Pölten,Wien/Auhof,Kfz,"34,105","36,688","32,753","36,179","40,375","32,872","25,887","22,6% Tage geschätzt",
A01, 56.5 ,St. Pölten Süd/A1,415,St. Pölten Süd - Kn. St. Pölten,Wien/Auhof,"Kfz > 3,5t hzG","4,832","6,517","5,593","6,828","6,263","2,482",502,Messung,
A01, 56.5 ,St. Pölten Süd/A1,415,St. Pölten Süd - Kn. St. Pölten,Wien/Auhof,"Kfz <= 3,5t hzG","29,273","30,171","27,160","29,351","34,112","30,390","25,385","22,6% Tage geschätzt",
A01, 56.5 ,St. Pölten Süd/A1,415,gesamt,gesamt,Kfz,"72,788","75,174","71,322","73,982","80,589","72,552","64,596","22,6% Tage geschätzt",
A01, 56.5 ,St. Pölten Süd/A1,415,gesamt,gesamt,"Kfz > 3,5t hzG","9,689","13,165","14,520","13,741","10,853","4,190","1,189",Messung,
A01, 56.5 ,St. Pölten Süd/A1,415,gesamt,gesamt,"Kfz <= 3,5t hzG","63,099","62,009","56,802","60,241","69,736","68,362","63,407","22,6% Tage geschätzt",
A01, 67.4 ,Poppendorf,423,St. Pölten Süd - Loosdorf,Staatsgrenze Walserberg,Kfz,"29,993","29,045","28,764","28,185","31,449","31,924","32,025","51,6% Tage geschätzt",
A01, 67.4 ,Poppendorf,423,St. Pölten Süd - Loosdorf,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,599","6,296","8,410","6,584","4,278","1,663",617,Messung,
A01, 67.4 ,Poppendorf,423,St. Pölten Süd - Loosdorf,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","25,394","22,749","20,354","21,601","27,171","30,261","31,408","51,6% Tage geschätzt",
A01, 67.4 ,Poppendorf,423,Loosdorf - St. Pölten Süd,Wien/Auhof,Kfz,"26,233","28,116","24,146","27,706","31,566","25,851","19,895","51,6% Tage geschätzt",
A01, 67.4 ,Poppendorf,423,Loosdorf - St. Pölten Süd,Wien/Auhof,"Kfz > 3,5t hzG","4,571","6,160","5,152","6,508","5,862","2,419",442,Messung,
A01, 67.4 ,Poppendorf,423,Loosdorf - St. Pölten Süd,Wien/Auhof,"Kfz <= 3,5t hzG","21,662","21,956","18,994","21,198","25,704","23,432","19,453","51,6% Tage geschätzt",
A01, 67.4 ,Poppendorf,423,gesamt,gesamt,Kfz,"56,226","57,161","52,910","55,891","63,015","57,775","51,920","51,6% Tage geschätzt",
A01, 67.4 ,Poppendorf,423,gesamt,gesamt,"Kfz > 3,5t hzG","9,170","12,456","13,562","13,092","10,140","4,082","1,059",Messung,
A01, 67.4 ,Poppendorf,423,gesamt,gesamt,"Kfz <= 3,5t hzG","47,056","44,705","39,348","42,799","52,875","53,693","50,861","51,6% Tage geschätzt",
A01, 77.4 ,Roggendorf,961,Loosdorf - Melk,Staatsgrenze Walserberg,Kfz,"32,762","31,403","31,974","30,490","33,435","35,375","35,777","58,1% Tage geschätzt",
A01, 77.4 ,Roggendorf,961,Loosdorf - Melk,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,604","6,304","8,379","6,605","4,274","1,687",598,Messung,
A01, 77.4 ,Roggendorf,961,Loosdorf - Melk,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","28,158","25,099","23,595","23,885","29,161","33,688","35,179","58,1% Tage geschätzt",
A01, 77.4 ,Roggendorf,961,Melk - Loosdorf,Wien/Auhof,Kfz,"27,827","29,778","25,900","29,404","33,077","26,902","21,615","51,6% Tage geschätzt",
A01, 77.4 ,Roggendorf,961,Melk - Loosdorf,Wien/Auhof,"Kfz > 3,5t hzG","4,573","6,165","5,179","6,525","5,822","2,407",443,Messung,
A01, 77.4 ,Roggendorf,961,Melk - Loosdorf,Wien/Auhof,"Kfz <= 3,5t hzG","23,254","23,613","20,721","22,879","27,255","24,495","21,172","51,6% Tage geschätzt",
