Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte
A07,13.6,Urfahr-Dornach,675,gesamt,gesamt,Kfz,52.643,60.892,60.69,61.656,59.026,41.351,31.297,Messung
A07,13.6,Urfahr-Dornach,675,gesamt,gesamt,"Kfz > 3,5t hzG",2.384,3.295,3.647,3.457,2.659,673.0,336.0,Messung
A07,13.6,Urfahr-Dornach,675,gesamt,gesamt,"Kfz <= 3,5t hzG",50.259,57.597,57.043,58.199,56.367,40.678,30.961,Messung
A07,20.4,Gallneukirchen,153,Treffling - Gallneukirchen,Unterweitersdorf,Kfz,18.536,21.366,20.84,21.568,21.157,14.869,11.073,"6,5% Tage geschätzt"
A07,20.4,Gallneukirchen,153,Treffling - Gallneukirchen,Unterweitersdorf,"Kfz > 3,5t hzG",1.123,1.55,1.547,1.62,1.37,341.0,150.0,Messung
A07,20.4,Gallneukirchen,153,Treffling - Gallneukirchen,Unterweitersdorf,"Kfz <= 3,5t hzG",17.413,19.816,19.293,19.948,19.787,14.528,10.923,"6,5% Tage geschätzt"
A07,20.4,Gallneukirchen,153,Gallneukirchen - Treffling,Kn. Linz,Kfz,18.828,21.758,22.133,22.041,20.799,14.786,11.267,"22,6% Tage geschätzt"
A07,20.4,Gallneukirchen,153,Gallneukirchen - Treffling,Kn. Linz,"Kfz > 3,5t hzG",1.148,1.587,1.903,1.685,1.143,302.0,173.0,Messung
A07,20.4,Gallneukirchen,153,Gallneukirchen - Treffling,Kn. Linz,"Kfz <= 3,5t hzG",17.68,20.171,20.23,20.356,19.656,14.484,11.094,"22,6% Tage geschätzt"
A07,20.4,Gallneukirchen,153,gesamt,gesamt,Kfz,37.364,43.124,42.973,43.609,41.956,29.655,22.34,"29,0% Tage geschätzt"
A07,20.4,Gallneukirchen,153,gesamt,gesamt,"Kfz > 3,5t hzG",2.271,3.137,3.45,3.305,2.513,643.0,323.0,Messung
A07,20.4,Gallneukirchen,153,gesamt,gesamt,"Kfz <= 3,5t hzG",35.093,39.987,39.523,40.304,39.443,29.012,22.017,"29,0% Tage geschätzt"
A08,2.3,Linden,606,Kn. Voralpenkreuz - Wels West,Staatsgrenze Suben,Kfz,11.5,11.788,12.808,11.717,11.362,11.358,10.584,"38,7% Tage geschätzt"
A08,2.3,Linden,606,Kn. Voralpenkreuz - Wels West,Staatsgrenze Suben,"Kfz > 3,5t hzG",1.743,2.413,3.444,2.448,1.702,608.0,157.0,Messung
A08,2.3,Linden,606,Kn. Voralpenkreuz - Wels West,Staatsgrenze Suben,"Kfz <= 3,5t hzG",9.757,9.375,9.364,9.269,9.66,10.75,10.427,"38,7% Tage geschätzt"
A08,2.3,Linden,606,Wels West - Kn. Voralpenkreuz,Kn. Voralpenkreuz,Kfz,9.665,10.993,10.058,10.969,11.619,9.159,5.354,"25,8% Tage geschätzt"
A08,2.3,Linden,606,Wels West - Kn. Voralpenkreuz,Kn. Voralpenkreuz,"Kfz > 3,5t hzG",1.807,2.394,2.057,2.496,2.329,1.13,203.0,Messung
A08,2.3,Linden,606,Wels West - Kn. Voralpenkreuz,Kn. Voralpenkreuz,"Kfz <= 3,5t hzG",7.858,8.599,8.001,8.473,9.29,8.029,5.151,"25,8% Tage geschätzt"
A08,2.3,Linden,606,gesamt,gesamt,Kfz,21.165,22.781,22.866,22.686,22.981,20.517,15.938,"38,7% Tage geschätzt"
A08,2.3,Linden,606,gesamt,gesamt,"Kfz > 3,5t hzG",3.55,4.807,5.501,4.944,4.031,1.738,360.0,Messung
A08,2.3,Linden,606,gesamt,gesamt,"Kfz <= 3,5t hzG",17.615,17.974,17.365,17.742,18.95,18.779,15.578,"38,7% Tage geschätzt"
A08,12.9,Hof,491,Wels West - Kn. Wels,Staatsgrenze Suben,Kfz,18.188,19.656,20.595,19.465,19.59,17.135,13.752,Messung
A08,12.9,Hof,491,Wels West - Kn. Wels,Staatsgrenze Suben,"Kfz > 3,5t hzG",2.427,3.375,4.58,3.449,2.461,764.0,216.0,Messung
